"year"	"gender"	"field"	"count"	"total"
"1966"	"Female"	"3658"	0	0
"1966"	"Gender"	"3658"	0	0
"1966"	"Male"	"3658"	0	0
"1967"	"Female"	"3658"	0	0
"1967"	"Gender"	"3658"	0	0
"1967"	"Male"	"3658"	0	0
"1968"	"Female"	"3658"	0	0
"1968"	"Gender"	"3658"	0	0
"1968"	"Male"	"3658"	0	0
"1969"	"Female"	"3658"	0	0
"1969"	"Gender"	"3658"	0	0
"1969"	"Male"	"3658"	0	0
"1970"	"Female"	"3658"	0	0
"1970"	"Gender"	"3658"	0	0
"1970"	"Male"	"3658"	0	0
"1971"	"Female"	"3658"	0	0
"1971"	"Gender"	"3658"	0	0
"1971"	"Male"	"3658"	0	0
"1972"	"Male"	"3658"	0	0
"1972"	"Female"	"3658"	0	0
"1972"	"Gender"	"3658"	0	0
"1973"	"Male"	"3658"	0	0
"1973"	"Female"	"3658"	0	0
"1973"	"Gender"	"3658"	0	0
"1974"	"Gender"	"3658"	0	0
"1974"	"Male"	"3658"	0	0
"1974"	"Female"	"3658"	0	0
"1975"	"Female"	"3658"	0	0
"1975"	"Gender"	"3658"	0	0
"1975"	"Male"	"3658"	0	0
"1976"	"Female"	"3658"	0	0
"1976"	"Male"	"3658"	0	0
"1976"	"Gender"	"3658"	0	0
"1977"	"Male"	"3658"	0	0
"1977"	"Female"	"3658"	0	0
"1977"	"Gender"	"3658"	0	0
"1978"	"Gender"	"3658"	0	0
"1978"	"Male"	"3658"	0	0
"1978"	"Female"	"3658"	0	0
"1979"	"Male"	"3658"	0	0
"1979"	"Female"	"3658"	0	0
"1979"	"Gender"	"3658"	0	0
"1980"	"Male"	"3658"	0	0
"1980"	"Gender"	"3658"	0	0
"1980"	"Female"	"3658"	0	0
"1981"	"Gender"	"3658"	0	0
"1981"	"Male"	"3658"	0	0
"1981"	"Female"	"3658"	0	0
"1982"	"Female"	"3658"	0	0
"1982"	"Gender"	"3658"	0	0
"1982"	"Male"	"3658"	0	0
"1983"	"Male"	"3658"	0	0
"1983"	"Female"	"3658"	0	0
"1983"	"Gender"	"3658"	0	0
"1984"	"Male"	"3658"	0	0
"1984"	"Gender"	"3658"	0	0
"1984"	"Female"	"3658"	0	0
"1985"	"Gender"	"3658"	0	0
"1985"	"Male"	"3658"	0	0
"1985"	"Female"	"3658"	0	0
"1986"	"Male"	"3658"	0	0
"1986"	"Female"	"3658"	0	0
"1986"	"Gender"	"3658"	0	0
"1987"	"Gender"	"3658"	0	0
"1987"	"Male"	"3658"	0	0
"1987"	"Female"	"3658"	0	0
"1988"	"Male"	"3658"	0	0
"1988"	"Female"	"3658"	0	0
"1988"	"Gender"	"3658"	0	0
"1989"	"Gender"	"3658"	0	0
"1989"	"Male"	"3658"	0	0
"1989"	"Female"	"3658"	0	0
"1990"	"Male"	"3658"	0	0
"1990"	"Female"	"3658"	0	0
"1990"	"Gender"	"3658"	0	0
"1991"	"Gender"	"3658"	0	0
"1991"	"Male"	"3658"	0	0
"1991"	"Female"	"3658"	0	0
"1992"	"Male"	"3658"	0	0
"1992"	"Female"	"3658"	0	0
"1992"	"Gender"	"3658"	0	0
"1993"	"Male"	"3658"	0	0
"1993"	"Gender"	"3658"	0	0
"1993"	"Female"	"3658"	0	0
"1994"	"Gender"	"3658"	0	0
"1994"	"Male"	"3658"	0	0
"1994"	"Female"	"3658"	0	0
"1995"	"Female"	"3658"	0	0
"1995"	"Gender"	"3658"	0	0
"1995"	"Male"	"3658"	0	0
"1996"	"Male"	"3658"	0	0
"1996"	"Female"	"3658"	0	0
"1996"	"Gender"	"3658"	0	0
"1997"	"Male"	"3658"	0	0
"1997"	"Gender"	"3658"	0	0
"1997"	"Female"	"3658"	0	0
"1998"	"Gender"	"3658"	0	0
"1998"	"Male"	"3658"	0	0
"1998"	"Female"	"3658"	0	0
"1999"	"Male"	"3658"	0	0
"1999"	"Female"	"3658"	0	0
"1999"	"Gender"	"3658"	0	0
"2000"	"Gender"	"3658"	0	0
"2000"	"Male"	"3658"	0	0
"2000"	"Female"	"3658"	0	0
"2001"	"Gender"	"3658"	0	0
"2001"	"Female"	"3658"	0	0
"2001"	"Male"	"3658"	0	0
"2002"	"Female"	"3658"	0	0
"2002"	"Gender"	"3658"	0	0
"2002"	"Male"	"3658"	0	0
"2003"	"Male"	"3658"	0	0
"2003"	"Female"	"3658"	0	0
"2003"	"Gender"	"3658"	0	0
"2004"	"Gender"	"3658"	0	0
"2004"	"Male"	"3658"	0	0
"2004"	"Female"	"3658"	0	0
"2005"	"Gender"	"3658"	0	0
"2005"	"Male"	"3658"	0	0
"2005"	"Female"	"3658"	0	0
"2006"	"Female"	"3658"	0	0
"2006"	"Gender"	"3658"	0	0
"2006"	"Male"	"3658"	0	0
"2007"	"Female"	"3658"	0	0
"2007"	"Gender"	"3658"	0	0
"2007"	"Male"	"3658"	0	0
"2008"	"Female"	"3658"	0	0
"2008"	"Gender"	"3658"	0	0
"2008"	"Male"	"3658"	0	0
"2009"	"Female"	"3658"	0	0
"2009"	"Gender"	"3658"	0	0
"2009"	"Male"	"3658"	0	0
"2010"	"Female"	"3658"	0	0
"2010"	"Gender"	"3658"	0	0
"2010"	"Male"	"3658"	0	0
"2011"	"Female"	"3658"	0	0
"2011"	"Gender"	"3658"	0	0
"2011"	"Male"	"3658"	0	0
